temp;pwm;time(s)
26.90;6;300.02
26.90;6;301.01
26.90;6;302.02
26.90;6;303.01
26.90;6;304.02
26.90;6;305.01
26.90;6;306.02
26.90;6;307.01
26.90;6;308.02
26.90;6;309.01
26.90;6;310.02
26.90;6;311.01
26.90;6;312.02
26.90;6;313.01
26.90;6;314.02
26.90;6;315.02
26.90;6;316.02
26.90;6;317.01
26.90;6;318.02
26.90;6;319.01
26.90;6;320.02
26.90;6;321.01
26.90;6;322.02
26.90;6;323.01
26.90;6;324.02
26.90;6;325.01
26.90;6;326.02
26.90;6;327.01
26.90;6;328.02
26.90;6;329.01
26.90;6;330.02
26.90;6;331.01
26.80;6;332.02
26.80;6;333.01
26.80;6;334.02
26.80;6;335.01
26.80;6;336.02
26.80;6;337.01
26.80;6;338.02
26.80;6;339.01
26.80;6;340.02
26.80;6;341.01
26.80;6;342.02
26.80;6;343.01
26.80;6;344.02
26.80;6;345.01
26.80;6;346.02
26.80;6;347.01
26.80;6;348.02
26.80;6;349.01
26.80;6;350.02
26.80;6;351.01
26.80;6;352.02
26.80;6;353.01
26.80;6;354.02
26.80;6;355.01
26.80;6;356.02
26.80;6;357.01
26.80;6;358.03
26.80;6;359.01
26.80;7;360.02
26.80;7;361.01
26.80;7;362.02
26.80;7;363.01
26.80;7;364.02
26.80;7;365.01
26.80;7;366.02
26.80;7;367.01
26.80;7;368.02
26.80;7;369.01
26.80;7;370.02
26.80;7;371.01
26.80;7;372.02
26.80;7;373.01
26.80;7;374.02
26.80;7;375.01
26.80;7;376.02
26.80;7;377.01
26.80;7;378.02
26.80;7;379.01
26.80;7;380.02
26.80;7;381.01
26.80;7;382.02
26.80;7;383.01
26.80;7;384.02
26.80;7;385.01
26.80;7;386.02
26.80;7;387.01
26.80;7;388.02
26.80;7;389.01
26.80;7;390.02
26.80;7;391.01
26.80;7;392.02
26.80;7;393.01
26.80;7;394.02
26.80;7;395.01
26.90;7;396.02
26.90;7;397.01
26.90;7;398.02
26.90;7;399.01
26.90;7;400.02
26.90;7;401.01
26.90;7;402.02
26.90;7;403.01
26.90;7;404.02
26.90;7;405.01
26.90;7;406.02
26.90;7;407.01
26.90;7;408.02
26.90;7;409.01
26.90;7;410.02
26.90;7;411.01
26.90;7;412.02
26.90;7;413.01
26.90;7;414.02
26.90;7;415.01
26.90;7;416.02
26.90;7;417.01
26.90;7;418.02
26.90;7;419.01
26.90;8;420.02
26.90;8;421.01
26.90;8;422.02
26.90;8;423.01
26.90;8;424.02
26.90;8;425.01
26.90;8;426.02
26.90;8;427.01
26.90;8;428.02
26.90;8;429.02
26.90;8;430.02
26.90;8;431.01
26.90;8;432.02
26.90;8;433.01
26.90;8;434.02
26.90;8;435.01
26.90;8;436.02
26.90;8;437.01
26.90;8;438.02
26.90;8;439.01
26.90;8;440.02
26.90;8;441.01
26.90;8;442.02
26.90;8;443.01
26.90;8;444.02
26.90;8;445.01
26.90;8;446.02
26.90;8;447.01
26.90;8;448.02
26.90;8;449.01
26.90;8;450.02
26.90;8;451.01
26.90;8;452.02
26.90;8;453.01
26.90;8;454.02
26.90;8;455.01
26.90;8;456.02
26.90;8;457.02
26.90;8;458.02
26.90;8;459.01
26.90;8;460.02
26.90;8;461.01
26.90;8;462.02
26.90;8;463.01
26.90;8;464.02
26.90;8;465.01
26.90;8;466.02
26.90;8;467.01
26.90;8;468.02
26.90;8;469.01
26.90;8;470.02
