apagar;temp;pwm;time(s)
16:25:14.105;30.50;13;764.00
16:25:15.124;30.50;13;765.00
16:25:16.138;30.50;13;766.00
16:25:17.131;30.50;13;767.00
16:25:18.117;30.50;13;768.00
16:25:19.106;30.50;13;769.00
16:25:20.134;30.50;13;770.00
16:25:21.106;30.50;13;771.00
16:25:22.125;30.50;13;772.00
16:25:23.111;30.50;13;773.00
16:25:24.125;30.50;13;774.00
16:25:25.119;30.50;13;775.00
16:25:26.133;30.50;13;776.00
16:25:27.150;30.50;13;777.00
16:25:28.137;30.50;13;778.00
16:25:29.122;30.50;13;779.00
16:25:30.148;30.50;14;780.00
16:25:31.119;30.50;14;781.00
16:25:32.153;30.50;14;782.00
16:25:33.127;30.50;14;783.00
16:25:34.165;30.50;14;784.00
16:25:35.139;30.50;14;785.00
16:25:36.137;30.50;14;786.00
16:25:37.163;30.50;14;787.00
16:25:38.151;30.50;14;788.00
16:25:39.128;30.50;14;789.00
16:25:40.150;30.50;14;790.00
16:25:41.123;30.50;14;791.00
16:25:42.142;30.50;14;792.00
16:25:43.128;30.50;14;793.00
16:25:44.168;30.50;14;794.00
16:25:45.146;30.50;14;795.00
16:25:46.138;30.50;14;796.00
16:25:47.166;30.50;14;797.00
16:25:48.139;30.50;14;798.00
16:25:49.175;30.50;14;799.00
16:25:50.148;30.50;14;800.00
16:25:51.136;30.50;14;801.00
16:25:52.154;30.50;14;802.00
16:25:53.141;30.50;14;803.00
16:25:54.162;30.50;14;804.00
16:25:55.169;30.50;14;805.00
16:25:56.155;30.40;14;806.00
16:25:57.169;30.40;14;807.00
16:25:58.188;30.50;14;808.00
16:25:59.174;30.50;14;809.00
16:26:00.189;30.50;14;810.00
16:26:01.177;30.50;14;811.00
16:26:02.164;30.50;14;812.00
16:26:03.151;30.50;14;813.00
16:26:04.186;30.50;14;814.00
16:26:05.160;30.50;14;815.00
16:26:06.180;30.40;14;816.00
16:26:07.176;30.40;14;817.00
16:26:08.191;30.40;14;818.00
16:26:09.169;30.40;14;819.00
16:26:10.173;30.40;14;820.00
16:26:11.202;30.40;14;821.00
16:26:12.190;30.40;14;822.00
16:26:13.178;30.40;14;823.00
16:26:14.197;30.40;14;824.00
16:26:15.172;30.40;14;825.00
16:26:16.189;30.40;14;826.00
16:26:17.166;30.40;14;827.00
16:26:18.204;30.40;14;828.00
16:26:19.181;30.40;14;829.00
16:26:20.181;30.40;14;830.00
16:26:21.168;30.40;14;831.00
16:26:22.189;30.40;14;832.00
16:26:23.175;30.40;14;833.00
16:26:24.198;30.40;14;834.00
16:26:25.206;30.40;14;835.00
16:26:26.192;30.40;14;836.00
16:26:27.179;30.40;14;837.00
16:26:28.199;30.40;14;838.00
16:26:29.222;30.40;14;839.00
16:26:30.205;30.40;15;840.00
16:26:31.218;30.40;15;841.00
16:26:32.191;30.40;15;842.00
16:26:33.224;30.40;15;843.00
16:26:34.228;30.40;15;844.00
16:26:35.195;30.40;15;845.00
16:26:36.212;30.40;15;846.00
16:26:37.231;30.40;15;847.00
16:26:38.193;30.40;15;848.00
16:26:39.231;30.40;15;849.00
16:26:40.238;30.40;15;850.00
16:26:41.211;30.40;15;851.00
16:26:42.200;30.40;15;852.00
16:26:43.235;30.40;15;853.00
16:26:44.209;30.40;15;854.00
16:26:45.216;30.40;15;855.00
16:26:46.237;30.40;15;856.00
16:26:47.220;30.40;15;857.00
16:26:48.229;30.40;15;858.00
16:26:49.209;30.40;15;859.00
16:26:50.248;30.40;15;860.00
16:26:51.243;30.40;15;861.00
16:26:52.214;30.40;15;862.00
16:26:53.234;30.40;15;863.00
16:26:54.217;30.40;15;864.00
16:26:55.244;30.40;15;865.00
16:26:56.231;30.40;15;866.00
16:26:57.216;30.40;15;867.00
16:26:58.254;30.40;15;868.00
16:26:59.231;30.40;15;869.00
16:27:00.246;30.40;15;870.00
16:27:01.221;30.40;15;871.00
16:27:02.240;30.40;15;872.00
16:27:03.228;30.40;15;873.00
16:27:04.217;30.40;15;874.00
16:27:05.223;30.40;15;875.00
16:27:06.222;30.40;15;876.00
16:27:07.256;30.40;15;877.00
16:27:08.232;30.30;15;878.00
16:27:09.229;30.30;15;879.00
16:27:10.237;30.30;15;880.00
16:27:11.265;30.30;15;881.00
16:27:12.244;30.30;15;882.00
16:27:13.232;30.30;15;883.00
16:27:14.250;30.30;15;884.00
16:27:15.260;30.30;15;885.00
16:27:16.250;30.30;15;886.00
16:27:17.270;30.30;15;887.00
16:27:18.258;30.40;15;888.00
16:27:19.266;30.40;15;889.00
16:27:20.256;30.30;15;890.00
16:27:21.244;30.30;15;891.00
16:27:22.264;30.30;15;892.00
16:27:23.253;30.30;15;893.00
16:27:24.263;30.30;15;894.00
16:27:25.261;30.30;15;895.00
16:27:26.279;30.30;15;896.00
16:27:27.267;30.30;15;897.00
16:27:28.286;30.30;15;898.00
16:27:29.278;30.30;15;899.00
16:27:30.254;30.30;16;900.00
16:27:31.289;30.30;16;901.00
16:27:32.298;30.30;16;902.00
16:27:33.270;30.30;16;903.00
16:27:34.275;30.30;16;904.00
16:27:35.281;30.30;16;905.00
16:27:36.301;30.30;16;906.00
16:27:37.288;30.30;16;907.00
16:27:38.299;30.30;16;908.00
16:27:39.294;30.30;16;909.00
16:27:40.293;30.30;16;910.00
16:27:41.301;30.30;16;911.00
16:27:42.273;30.30;16;912.00
16:27:43.264;30.30;16;913.00
16:27:44.284;30.30;16;914.00
16:27:45.292;30.30;16;915.00
16:27:46.281;30.40;16;916.00
16:27:47.298;30.40;16;917.00
16:27:48.285;30.30;16;918.00
16:27:49.293;30.30;16;919.00
16:27:50.309;30.30;16;920.00
16:27:51.311;30.30;16;921.00
16:27:52.285;30.30;16;922.00
16:27:53.305;30.30;16;923.00
16:27:54.281;30.40;16;924.00
16:27:55.321;30.40;16;925.00
16:27:56.313;30.30;16;926.00
16:27:57.302;30.30;16;927.00
16:27:58.291;30.30;16;928.00
16:27:59.313;30.30;16;929.00
16:28:00.317;30.30;16;930.00
16:28:01.311;30.30;16;931.00
16:28:02.298;30.30;16;932.00
16:28:03.318;30.30;16;933.00
16:28:04.307;30.30;16;934.00
16:28:05.329;30.30;16;935.00
16:28:06.318;30.30;16;936.00
16:28:07.333;30.30;16;937.00
16:28:08.301;30.30;16;938.00
16:28:09.299;30.30;16;939.00
16:28:10.319;30.30;16;940.00
16:28:11.297;30.30;16;941.00
16:28:12.331;30.30;16;942.00
16:28:13.344;30.30;16;943.00
16:28:14.315;30.30;16;944.00
16:28:15.302;30.30;16;945.00
16:28:16.322;30.30;16;946.00
16:28:17.310;30.30;16;947.00
16:28:18.321;30.30;16;948.00
16:28:19.332;30.30;16;949.00
16:28:20.357;30.30;16;950.00
16:28:21.351;30.30;16;951.00
16:28:22.320;30.30;16;952.00
16:28:23.354;30.30;16;953.00
16:28:24.329;30.30;16;954.00
16:28:25.317;30.30;16;955.00
16:28:26.337;30.30;16;956.00
16:28:27.327;30.30;16;957.00
16:28:28.344;30.30;16;958.00
16:28:29.338;30.30;16;959.00
16:28:30.345;30.30;17;960.00
16:28:31.365;30.30;17;961.00
16:28:32.354;30.30;17;962.00
16:28:33.367;30.30;17;963.00
16:28:34.340;30.30;17;964.00
16:28:35.374;30.30;17;965.00
16:28:36.361;30.30;17;966.00
16:28:37.334;30.30;17;967.00
16:28:38.365;30.30;17;968.00
16:28:39.355;30.30;17;969.00
16:28:40.375;30.30;17;970.00
16:28:41.336;30.30;17;971.00
16:28:42.374;30.30;17;972.00
16:28:43.345;30.30;17;973.00
16:28:44.381;30.30;17;974.00
16:28:45.369;30.30;17;975.00
16:28:46.387;30.30;17;976.00
16:28:47.361;30.30;17;977.00
16:28:48.350;30.30;17;978.00
16:28:49.370;30.30;17;979.00
16:28:50.383;30.30;17;980.00
16:28:51.353;30.30;17;981.00
16:28:52.386;30.30;17;982.00
16:28:53.358;30.30;17;983.00
16:28:54.374;30.30;17;984.00
16:28:55.396;30.30;17;985.00
16:28:56.385;30.30;17;986.00
16:28:57.400;30.30;17;987.00
16:28:58.373;30.30;17;988.00
16:28:59.396;30.30;17;989.00
16:29:00.394;30.30;17;990.00
16:29:01.371;30.30;17;991.00
16:29:02.380;30.30;17;992.00
16:29:03.406;30.30;17;993.00
16:29:04.393;30.30;17;994.00
16:29:05.398;30.30;17;995.00
16:29:06.381;30.30;17;996.00
16:29:07.375;30.30;17;997.00
16:29:08.383;30.30;17;998.00
16:29:09.404;30.30;17;999.00
16:29:10.393;30.30;17;1000.00
16:29:11.408;30.30;17;1001.00
16:29:12.425;30.20;17;1002.00
16:29:13.407;30.20;17;1003.00
16:29:14.404;30.30;17;1004.00
16:29:15.391;30.30;17;1005.00
16:29:16.404;30.30;17;1006.00
16:29:17.424;30.30;17;1007.00
16:29:18.407;30.20;17;1008.00
16:29:19.395;30.20;17;1009.00
16:29:20.410;30.30;17;1010.00
16:29:21.429;30.30;17;1011.00
16:29:22.423;30.30;17;1012.00
16:29:23.391;30.30;17;1013.00
16:29:24.428;30.30;17;1014.00
16:29:25.437;30.30;17;1015.00
16:29:26.425;30.30;17;1016.00
16:29:27.436;30.30;17;1017.00
16:29:28.414;30.30;17;1018.00
16:29:29.441;30.30;17;1019.00
16:29:30.425;30.20;18;1020.00
16:29:31.398;30.20;18;1021.00
16:29:32.442;30.30;18;1022.00
16:29:33.412;30.30;18;1023.00
16:29:34.449;30.20;18;1024.00
16:29:35.414;30.20;18;1025.00
16:29:36.434;30.20;18;1026.00
16:29:37.427;30.20;18;1027.00
16:29:38.448;30.30;18;1028.00
16:29:39.437;30.30;18;1029.00
16:29:40.456;30.30;18;1030.00
16:29:41.445;30.30;18;1031.00
16:29:42.455;30.30;18;1032.00
16:29:43.444;30.30;18;1033.00
16:29:44.425;30.30;18;1034.00
16:29:45.419;30.30;18;1035.00
16:29:46.438;30.30;18;1036.00
16:29:47.458;30.30;18;1037.00
16:29:48.450;30.30;18;1038.00
16:29:49.424;30.30;18;1039.00
16:29:50.457;30.30;18;1040.00
16:29:51.429;30.30;18;1041.00
16:29:52.468;30.30;18;1042.00
16:29:53.456;30.30;18;1043.00
16:29:54.436;30.30;18;1044.00
16:29:55.465;30.30;18;1045.00
16:29:56.473;30.30;18;1046.00
16:29:57.445;30.30;18;1047.00
16:29:58.463;30.30;18;1048.00
16:29:59.437;30.30;18;1049.00
16:30:00.440;30.30;18;1050.00
16:30:01.462;30.30;18;1051.00
16:30:02.471;30.30;18;1052.00
16:30:03.443;30.30;18;1053.00
16:30:04.450;30.30;18;1054.00
16:30:05.486;30.30;18;1055.00
16:30:06.474;30.30;18;1056.00
16:30:07.480;30.30;18;1057.00
16:30:08.452;30.20;18;1058.00
16:30:09.489;30.20;18;1059.00
16:30:10.462;30.20;18;1060.00
16:30:11.482;30.20;18;1061.00
16:30:12.471;30.30;18;1062.00
16:30:13.473;30.30;18;1063.00
16:30:14.472;30.30;18;1064.00
16:30:15.464;30.30;18;1065.00
16:30:16.485;30.30;18;1066.00
16:30:17.458;30.30;18;1067.00
16:30:18.478;30.30;18;1068.00
16:30:19.498;30.30;18;1069.00
16:30:20.485;30.20;18;1070.00
16:30:21.504;30.20;18;1071.00
16:30:22.491;30.20;18;1072.00
16:30:23.501;30.20;18;1073.00
16:30:24.490;30.20;18;1074.00
16:30:25.503;30.20;18;1075.00
16:30:26.474;30.30;18;1076.00
16:30:27.494;30.30;18;1077.00
16:30:28.481;30.20;18;1078.00
16:30:29.503;30.20;18;1079.00
16:30:30.491;30.20;19;1080.00
16:30:31.511;30.20;19;1081.00
16:30:32.498;30.20;19;1082.00
16:30:33.509;30.20;19;1083.00
16:30:34.485;30.20;19;1084.00
16:30:35.520;30.20;19;1085.00
16:30:36.484;30.20;19;1086.00
16:30:37.481;30.20;19;1087.00
16:30:38.511;30.30;19;1088.00
16:30:39.485;30.30;19;1089.00
16:30:40.520;30.30;19;1090.00
16:30:41.492;30.30;19;1091.00
16:30:42.528;30.30;19;1092.00
16:30:43.522;30.30;19;1093.00
16:30:44.497;30.20;19;1094.00
16:30:45.526;30.20;19;1095.00
16:30:46.524;30.20;19;1096.00
16:30:47.511;30.20;19;1097.00
16:30:48.531;30.30;19;1098.00
16:30:49.523;30.30;19;1099.00
16:30:50.504;30.20;19;1100.00
16:30:51.540;30.20;19;1101.00
16:30:52.514;30.30;19;1102.00
16:30:53.501;30.30;19;1103.00
16:30:54.507;30.30;19;1104.00
16:30:55.528;30.30;19;1105.00
16:30:56.511;30.20;19;1106.00
16:30:57.530;30.20;19;1107.00
16:30:58.551;30.20;19;1108.00
16:30:59.510;30.20;19;1109.00
16:31:00.537;30.20;19;1110.00
16:31:01.530;30.20;19;1111.00
16:31:02.535;30.30;19;1112.00
16:31:03.546;30.30;19;1113.00
16:31:04.520;30.20;19;1114.00
16:31:05.527;30.20;19;1115.00
16:31:06.562;30.30;19;1116.00
16:31:07.564;30.30;19;1117.00
16:31:08.541;30.20;19;1118.00
16:31:09.528;30.20;19;1119.00
16:31:10.553;30.20;19;1120.00
16:31:11.526;30.20;19;1121.00
16:31:12.563;30.20;19;1122.00
16:31:13.535;30.20;19;1123.00
16:31:14.550;30.20;19;1124.00
16:31:15.568;30.20;19;1125.00
16:31:16.574;30.20;19;1126.00
16:31:17.560;30.20;19;1127.00
16:31:18.537;30.20;19;1128.00
16:31:19.557;30.20;19;1129.00
16:31:20.550;30.20;19;1130.00
16:31:21.538;30.20;19;1131.00
16:31:22.558;30.20;19;1132.00
16:31:23.579;30.20;19;1133.00
16:31:24.580;30.20;19;1134.00
16:31:25.551;30.20;19;1135.00
16:31:26.593;30.20;19;1136.00
16:31:27.569;30.20;19;1137.00
