temp;pwm;time(s)
28.20;3;120.00
28.20;3;121.00
28.20;3;122.00
28.20;3;123.00
28.20;3;124.00
28.20;3;125.00
28.20;3;126.00
28.20;3;127.00
28.20;3;128.00
28.20;3;129.00
28.20;3;130.00
28.20;3;131.00
28.20;3;132.00
28.20;3;133.00
28.20;3;134.00
28.20;3;135.00
28.20;3;136.00
28.20;3;137.00
28.20;3;138.00
28.20;3;139.00
28.10;3;140.00
28.10;3;141.00
28.20;3;142.00
28.20;3;143.00
28.20;3;144.00
28.20;3;145.00
28.10;3;146.00
28.10;3;147.00
28.10;3;148.00
28.10;3;149.00
28.20;3;150.00
28.20;3;151.00
28.20;3;152.00
28.20;3;153.00
28.20;3;154.00
28.20;3;155.00
28.20;3;156.00
28.20;3;157.00
28.10;3;158.00
28.10;3;159.00
28.10;3;160.00
28.10;3;161.00
28.10;3;162.00
28.10;3;163.00
28.20;3;164.00
28.20;3;165.00
28.20;3;166.00
28.20;3;167.00
28.20;3;168.00
28.20;3;169.00
28.20;3;170.00
28.20;3;171.00
28.10;3;172.00
28.10;3;173.00
28.10;3;174.00
28.10;3;175.00
28.20;3;176.00
28.20;3;177.00
28.20;3;178.00
28.20;3;179.00
28.20;4;180.00
28.20;4;181.00
28.20;4;182.00
28.20;4;183.00
28.10;4;184.00
28.10;4;185.00
28.20;4;186.00
28.20;4;187.00
28.10;4;188.00
28.10;4;189.00
28.10;4;190.00
28.10;4;191.00
28.10;4;192.00
28.10;4;193.00
28.10;4;194.00
28.10;4;195.00
28.10;4;196.00
28.10;4;197.00
28.10;4;198.00
28.10;4;199.00
28.10;4;200.00
28.10;4;201.00
28.20;4;202.00
28.20;4;203.00
28.10;4;204.00
28.10;4;205.00
28.10;4;206.00
28.10;4;207.00
28.10;4;208.00
28.10;4;209.00
28.10;4;210.00
28.10;4;211.00
28.10;4;212.00
28.10;4;213.00
28.10;4;214.00
28.10;4;215.00
28.10;4;216.00
28.10;4;217.00
28.10;4;218.00
28.10;4;219.00
28.10;4;220.00
28.10;4;221.00
28.10;4;222.00
28.10;4;223.00
28.10;4;224.00
28.10;4;225.00
28.10;4;226.00
28.10;4;227.00
28.10;4;228.00
28.10;4;229.00
28.10;4;230.00
28.10;4;231.00
28.10;4;232.00
28.10;4;233.00
28.10;4;234.00
28.10;4;235.00
28.10;4;236.00
28.10;4;237.00
28.10;4;238.00
28.10;4;239.00
28.10;5;240.00
28.10;5;241.00
28.10;5;242.00
28.10;5;243.00
28.10;5;244.00
28.10;5;245.00
28.10;5;246.00
28.10;5;247.00
28.10;5;248.00
28.10;5;249.00
28.10;5;250.00
28.10;5;251.00
28.10;5;252.00
28.10;5;253.00
28.10;5;254.00
28.10;5;255.00
28.10;5;256.00
28.10;5;257.00
28.10;5;258.00
28.10;5;259.00
28.10;5;260.00
28.10;5;261.00
28.10;5;262.00
28.10;5;263.00
28.10;5;264.00
28.10;5;265.00
28.10;5;266.00
28.10;5;267.00
28.10;5;268.00
28.10;5;269.00
28.10;5;270.00
28.10;5;271.00
28.10;5;272.00
28.10;5;273.00
28.10;5;274.00
28.10;5;275.00
28.10;5;276.00
28.10;5;277.00
28.10;5;278.00
28.10;5;279.00
28.10;5;280.00
28.10;5;281.00
28.10;5;282.00
28.10;5;283.00
28.10;5;284.00
28.10;5;285.00
28.10;5;286.00
28.10;5;287.00
28.10;5;288.00
28.10;5;289.00
28.10;5;290.00
28.10;5;291.00
28.10;5;292.00
28.10;5;293.00
28.10;5;294.00
28.10;5;295.00
28.10;5;296.00
28.10;5;297.00
28.10;5;298.00
28.10;5;299.00
28.10;6;300.00
28.10;6;301.00
28.10;6;302.00
28.10;6;303.00
28.10;6;304.00
28.10;6;305.00
28.10;6;306.00
28.10;6;307.00
28.10;6;308.00
28.10;6;309.00
28.10;6;310.00
28.10;6;311.00
28.10;6;312.00
28.10;6;313.00
28.10;6;314.00
28.10;6;315.00
28.10;6;316.00
28.10;6;317.00
28.10;6;318.00
28.10;6;319.00
28.10;6;320.00
28.10;6;321.00
28.10;6;322.00
28.10;6;323.00
28.10;6;324.00
28.10;6;325.00
28.10;6;326.00
28.10;6;327.00
28.10;6;328.00
28.10;6;329.00
28.10;6;330.00
28.10;6;331.00
28.10;6;332.00
28.10;6;333.00
28.10;6;334.00
28.10;6;335.00
28.10;6;336.00
28.10;6;337.00
28.10;6;338.00
28.10;6;339.00
28.10;6;340.00
28.10;6;341.00
28.10;6;342.00
28.10;6;343.00
28.10;6;344.00
28.10;6;345.00
28.10;6;346.00
28.10;6;347.00
28.10;6;348.00
28.10;6;349.00
28.10;6;350.00
28.10;6;351.00
28.10;6;352.00
28.10;6;353.00
28.10;6;354.00
28.10;6;355.00
28.10;6;356.00
28.10;6;357.00
28.10;6;358.00
28.10;6;359.00
28.10;7;360.00
28.10;7;361.00
28.10;7;362.00
28.10;7;363.00
28.10;7;364.00
28.10;7;365.00
28.10;7;366.00
28.10;7;367.00
28.10;7;368.00
28.10;7;369.00
28.10;7;370.00
28.10;7;371.00
28.10;7;372.00
28.10;7;373.00
28.10;7;374.00
28.10;7;375.00
28.10;7;376.00
28.10;7;377.00
28.10;7;378.00
28.10;7;379.00
28.00;7;380.00
28.00;7;381.00
28.10;7;382.00
28.10;7;383.00
28.10;7;384.00
28.10;7;385.00
28.10;7;386.00
28.10;7;387.00
28.10;7;388.00
28.10;7;389.00
28.10;7;390.00
28.10;7;391.00
28.00;7;392.00
28.00;7;393.00
28.10;7;394.00
28.10;7;395.00
28.10;7;396.00
28.10;7;397.00
28.10;7;398.00
28.10;7;399.00
28.00;7;400.00
28.00;7;401.00
28.00;7;402.00
28.00;7;403.00
28.10;7;404.00
28.10;7;405.00
28.00;7;406.00
28.00;7;407.00
28.10;7;408.00
28.10;7;409.00
28.10;7;410.00
28.10;7;411.00
28.00;7;412.00
28.00;7;413.00
28.00;7;414.00
28.00;7;415.00
28.10;7;416.00
28.10;7;417.00
28.00;7;418.00
28.00;7;419.00
28.10;8;420.00
28.10;8;421.00
28.10;8;422.00
28.10;8;423.00
28.00;8;424.00
28.00;8;425.00
28.00;8;426.00
28.00;8;427.00
28.00;8;428.00
28.00;8;429.00
28.00;8;430.00
28.00;8;431.00
28.10;8;432.00
28.10;8;433.00
28.10;8;434.00
28.10;8;435.00
28.00;8;436.00
28.00;8;437.00
28.00;8;438.00
28.00;8;439.00
28.10;8;440.00
28.10;8;441.00
28.10;8;442.00
28.10;8;443.00
28.10;8;444.00
28.10;8;445.00
28.10;8;446.00
28.10;8;447.00
28.10;8;448.00
28.10;8;449.00
28.10;8;450.00
28.10;8;451.00
28.10;8;452.00
28.10;8;453.00
28.10;8;454.00
28.10;8;455.00
28.00;8;456.00
28.00;8;457.00
28.00;8;458.00
28.00;8;459.00
28.10;8;460.00
28.10;8;461.00
28.10;8;462.00
28.10;8;463.00
28.10;8;464.00
28.10;8;465.00
28.00;8;466.00
28.00;8;467.00
28.10;8;468.00
28.10;8;469.00
28.00;8;470.00
28.00;8;471.00
28.00;8;472.00
28.00;8;473.00
28.00;8;474.00
28.00;8;475.00
28.10;8;476.00
28.10;8;477.00
28.00;8;478.00
28.00;8;479.00
28.10;9;480.00
28.10;9;481.00
28.10;9;482.00
28.10;9;483.00
28.10;9;484.00
28.10;9;485.00
28.10;9;486.00
28.10;9;487.00
28.10;9;488.00
28.10;9;489.00
28.10;9;490.00
28.10;9;491.00
28.00;9;492.00
28.00;9;493.00
28.10;9;494.00
28.10;9;495.00
28.10;9;496.00
28.10;9;497.00
28.00;9;498.00
28.00;9;499.00
28.00;9;500.00
28.00;9;501.00
28.10;9;502.00
28.10;9;503.00
28.00;9;504.00
28.00;9;505.00
28.10;9;506.00
28.10;9;507.00
28.00;9;508.00
28.00;9;509.00
28.10;9;510.00
28.10;9;511.00
28.10;9;512.00
28.10;9;513.00
28.10;9;514.00
28.10;9;515.00
28.10;9;516.00
28.10;9;517.00
28.10;9;518.00
28.10;9;519.00
28.10;9;520.00
28.10;9;521.00
28.10;9;522.00
28.10;9;523.00
28.10;9;524.00
28.10;9;525.00
28.10;9;526.00
28.10;9;527.00
28.10;9;528.00
28.10;9;529.00
28.10;9;530.00
28.10;9;531.00
28.10;9;532.00
28.10;9;533.00
28.10;9;534.00
28.10;9;535.00
28.10;9;536.00
28.10;9;537.00
28.10;9;538.00
28.10;9;539.00
28.10;10;540.00
28.10;10;541.00
28.10;10;542.00
28.10;10;543.00
28.10;10;544.00
28.10;10;545.00
28.10;10;546.00
28.10;10;547.00
28.10;10;548.00
28.10;10;549.00
28.10;10;550.00
28.10;10;551.00
28.10;10;552.00
28.10;10;553.00
28.10;10;554.00
28.10;10;555.00
28.10;10;556.00
28.10;10;557.00
28.10;10;558.00
28.10;10;559.00
28.10;10;560.00
28.10;10;561.00
28.20;10;562.00
28.20;10;563.00
28.10;10;564.00
28.10;10;565.00
28.10;10;566.00
28.10;10;567.00
28.20;10;568.00
28.20;10;569.00
28.10;10;570.00
28.10;10;571.00
28.20;10;572.00
28.20;10;573.00
28.10;10;574.00
28.10;10;575.00
28.20;10;576.00
28.20;10;577.00
28.20;10;578.00
28.20;10;579.00
28.20;10;580.00
28.20;10;581.00
28.20;10;582.00
28.20;10;583.00
28.20;10;584.00
28.20;10;585.00
28.20;10;586.00
28.20;10;587.00
28.20;10;588.00
28.20;10;589.00
28.20;10;590.00
28.20;10;591.00
28.20;10;592.00
28.20;10;593.00
28.20;10;594.00
28.20;10;595.00
28.20;10;596.00
28.20;10;597.00
28.10;10;598.00
28.10;10;599.00
28.20;11;600.00
28.20;11;601.00
28.10;11;602.00
28.10;11;603.00
28.20;11;604.00
28.20;11;605.00
28.20;11;606.00
28.20;11;607.00
28.10;11;608.00
28.10;11;609.00
28.20;11;610.00
28.20;11;611.00
28.10;11;612.00
28.10;11;613.00
28.20;11;614.00
28.20;11;615.00
28.20;11;616.00
28.20;11;617.00
28.10;11;618.00
28.10;11;619.00
28.20;11;620.00
28.20;11;621.00
28.20;11;622.00
28.20;11;623.00
28.10;11;624.00
28.10;11;625.00
28.20;11;626.00
28.20;11;627.00
28.20;11;628.00
28.20;11;629.00
28.10;11;630.00
28.10;11;631.00
28.20;11;632.00
28.20;11;633.00
28.20;11;634.00
28.20;11;635.00
28.20;11;636.00
28.20;11;637.00
28.10;11;638.00
28.10;11;639.00
28.10;11;640.00
28.10;11;641.00
28.20;11;642.00
28.20;11;643.00
28.10;11;644.00
28.10;11;645.00
28.20;11;646.00
28.20;11;647.00
28.10;11;648.00
28.10;11;649.00
28.10;11;650.00
28.10;11;651.00
28.10;11;652.00
28.10;11;653.00
28.20;11;654.00
28.20;11;655.00
28.10;11;656.00
28.10;11;657.00
28.20;11;658.00
28.20;11;659.00
28.10;12;660.00
28.10;12;661.00
28.10;12;662.00
28.10;12;663.00
28.10;12;664.00
28.10;12;665.00
28.10;12;666.00
28.10;12;667.00
28.10;12;668.00
28.10;12;669.00
28.10;12;670.00
28.10;12;671.00
28.10;12;672.00
28.10;12;673.00
28.10;12;674.00
28.10;12;675.00
28.10;12;676.00
28.10;12;677.00
28.10;12;678.00
28.10;12;679.00
28.10;12;680.00
28.10;12;681.00
28.10;12;682.00
28.10;12;683.00
28.10;12;684.00
28.10;12;685.00
28.20;12;686.00
28.20;12;687.00
28.10;12;688.00
28.10;12;689.00
28.10;12;690.00
28.10;12;691.00
28.20;12;692.00
28.20;12;693.00
28.10;12;694.00
28.10;12;695.00
28.10;12;696.00
28.10;12;697.00
28.10;12;698.00
28.10;12;699.00
28.10;12;700.00
28.10;12;701.00
28.10;12;702.00
28.10;12;703.00
28.10;12;704.00
28.10;12;705.00
28.10;12;706.00
28.10;12;707.00
28.10;12;708.00
28.10;12;709.00
28.10;12;710.00
28.10;12;711.00
28.10;12;712.00
28.10;12;713.00
28.10;12;714.00
28.10;12;715.00
28.10;12;716.00
28.10;12;717.00
28.10;12;718.00
28.10;12;719.00
28.10;13;720.00
28.10;13;721.00
28.10;13;722.00
28.10;13;723.00
28.10;13;724.00
28.10;13;725.00
28.20;13;726.00
28.20;13;727.00
28.10;13;728.00
28.10;13;729.00
28.20;13;730.00
28.20;13;731.00
28.20;13;732.00
28.20;13;733.00
28.10;13;734.00
28.10;13;735.00
28.10;13;736.00
28.10;13;737.00
28.20;13;738.00
28.20;13;739.00
28.20;13;740.00
28.20;13;741.00
28.20;13;742.00
28.20;13;743.00
28.20;13;744.00
28.20;13;745.00
28.10;13;746.00
28.10;13;747.00
28.10;13;748.00
