temp;pwm;time(s)
31.90;100;0.00
31.90;100;0.00
31.90;100;0.00
31.90;100;0.01
31.90;100;0.01
31.90;100;0.02
31.90;100;0.04
31.90;100;0.05
31.90;100;0.07
31.90;100;0.09
31.90;100;0.10
31.90;100;0.12
31.90;100;0.14
31.90;100;0.15
31.90;100;0.17
31.90;100;0.19
31.90;100;0.20
31.90;100;0.22
31.90;100;0.24
31.90;100;0.25
31.90;100;0.27
31.90;100;0.29
31.90;100;0.30
31.90;100;0.32
31.90;100;0.34
31.90;100;0.35
31.90;100;0.37
31.90;100;0.38
31.90;100;0.40
31.90;100;0.42
31.90;100;0.44
31.90;100;0.45
31.90;100;0.47
31.90;100;0.48
31.90;100;0.50
31.90;100;0.52
31.90;100;0.54
31.90;100;0.55
31.90;100;0.57
31.90;100;0.59
31.90;100;0.60
31.90;100;0.62
31.90;100;0.63
31.90;100;0.65
31.90;100;0.67
31.90;100;0.68
31.90;100;0.70
31.90;100;0.72
31.90;100;0.73
31.90;100;0.75
31.90;100;0.77
31.90;100;0.79
31.90;100;0.80
31.90;100;0.82
31.90;100;0.84
31.90;100;0.85
31.90;100;0.87
31.90;100;0.88
31.90;100;0.90
31.90;100;0.92
31.90;100;0.93
31.90;100;0.95
31.90;100;0.97
31.90;100;0.98
31.90;100;1.00
31.90;100;1.02
31.90;100;1.04
31.90;100;1.05
31.90;100;1.07
31.90;100;1.08
31.90;100;1.10
31.90;100;1.12
31.90;100;1.13
31.90;100;1.15
31.90;100;1.17
31.90;100;1.18
31.90;100;1.20
31.90;100;1.22
31.90;100;1.23
31.90;100;1.25
31.90;100;1.27
31.90;100;1.28
31.90;100;1.30
31.90;100;1.32
31.90;100;1.33
31.90;100;1.35
31.90;100;1.37
31.90;100;1.38
31.90;100;1.40
31.90;100;1.42
31.90;100;1.43
31.90;100;1.45
31.90;100;1.47
31.90;100;1.48
31.90;100;1.50
31.90;100;1.52
31.90;100;1.53
31.90;100;1.55
31.90;100;1.57
31.90;100;1.58
31.90;100;1.60
31.90;100;1.62
31.90;100;1.63
31.90;100;1.65
31.90;100;1.67
31.90;100;1.68
31.90;100;1.70
31.90;100;1.72
31.90;100;1.73
31.90;100;1.75
31.90;100;1.77
31.90;100;1.78
31.90;100;1.80
31.90;100;1.82
31.90;100;1.83
31.90;100;1.85
31.90;100;1.87
31.90;100;1.88
31.90;100;1.90
31.90;100;1.92
31.90;100;1.93
31.90;100;1.95
31.90;100;1.97
31.90;100;1.98
31.90;100;2.00
31.90;100;2.02
31.90;100;2.03
31.90;100;2.05
31.90;100;2.06
31.90;100;2.08
31.90;100;2.10
31.90;100;2.12
31.90;100;2.13
31.90;100;2.15
31.90;100;2.17
31.90;100;2.18
31.90;100;2.20
31.90;100;2.22
31.90;100;2.23
31.90;100;2.25
31.90;100;2.26
31.90;100;2.28
31.90;100;2.30
31.90;100;2.31
31.90;100;2.33
31.90;100;2.35
31.90;100;2.37
31.90;100;2.38
31.90;100;2.40
31.90;100;2.42
31.90;100;2.43
31.90;100;2.45
31.90;100;2.46
31.90;100;2.48
31.90;100;2.50
31.90;100;2.51
31.90;100;2.53
31.90;100;2.55
31.90;100;2.56
31.90;100;2.58
31.90;100;2.60
31.90;100;2.62
31.90;100;2.63
31.90;100;2.65
31.90;100;2.66
31.90;100;2.68
31.90;100;2.70
31.90;100;2.71
31.90;100;2.73
31.90;100;2.75
31.90;100;2.76
31.90;100;2.78
31.90;100;2.80
31.90;100;2.81
31.90;100;2.83
31.90;100;2.85
31.90;100;2.86
31.90;100;2.88
31.90;100;2.90
31.90;100;2.91
31.90;100;2.93
31.90;100;2.95
31.90;100;2.96
31.90;100;2.98
31.90;100;3.00
31.90;100;3.01
31.90;100;3.03
31.90;100;3.05
31.90;100;3.06
31.90;100;3.08
31.90;100;3.10
31.90;100;3.11
31.90;100;3.13
31.90;100;3.15
31.90;100;3.16
31.90;100;3.18
31.90;100;3.20
31.90;100;3.21
31.90;100;3.23
31.90;100;3.25
31.90;100;3.26
31.90;100;3.28
31.90;100;3.30
31.90;100;3.31
31.90;100;3.33
31.90;100;3.35
31.90;100;3.36
31.90;100;3.38
31.90;100;3.40
31.90;100;3.41
31.90;100;3.43
31.90;100;3.45
31.90;100;3.46
31.90;100;3.48
31.90;100;3.50
31.90;100;3.51
31.90;100;3.53
31.90;100;3.55
31.90;100;3.56
31.90;100;3.58
31.90;100;3.60
31.90;100;3.61
31.90;100;3.63
31.90;100;3.65
31.90;100;3.66
31.90;100;3.68
31.90;100;3.70
31.90;100;3.71
31.90;100;3.73
31.90;100;3.75
31.90;100;3.76
31.90;100;3.78
31.90;100;3.79
31.90;100;3.81
31.90;100;3.83
31.90;100;3.85
31.90;100;3.86
31.90;100;3.88
31.90;100;3.90
31.90;100;3.91
31.90;100;3.93
31.90;100;3.95
31.90;100;3.96
31.90;100;3.98
31.90;100;4.00
31.90;100;4.01
31.90;100;4.03
31.90;100;4.04
31.90;100;4.06
31.90;100;4.08
31.90;100;4.09
31.90;100;4.11
