temp;pwm;time(s)
25.00;30;0.00
25.00;30;0.01
25.00;30;0.01
25.00;30;0.01
25.00;30;0.01
25.00;30;0.01
25.00;30;0.03
25.00;30;0.05
25.00;30;0.06
25.00;30;0.08
25.00;30;0.09
25.00;30;0.11
25.00;30;0.12
25.00;30;0.14
25.00;30;0.15
25.00;30;0.17
25.00;30;0.19
25.00;30;0.20
25.00;30;0.22
25.00;30;0.23
25.00;30;0.25
25.00;30;0.26
25.00;30;0.28
25.00;30;0.30
25.00;30;0.31
25.00;30;0.33
25.00;30;0.34
25.00;30;0.36
25.00;30;0.37
25.00;30;0.39
25.00;30;0.40
25.00;30;0.42
25.00;30;0.44
25.00;30;0.45
25.00;30;0.47
25.00;30;0.48
25.00;30;0.50
25.00;30;0.51
25.00;30;0.53
25.00;30;0.55
25.00;30;0.56
25.00;30;0.58
25.00;30;0.59
25.00;30;0.61
25.00;30;0.62
25.00;30;0.64
25.00;30;0.65
25.00;30;0.67
25.00;30;0.68
25.00;30;0.70
25.00;30;0.72
25.00;30;0.73
25.00;30;0.75
25.00;30;0.76
25.00;30;0.78
25.00;30;0.80
25.00;30;0.81
25.00;30;0.83
25.00;30;0.84
25.00;30;0.86
25.00;30;0.87
25.00;30;0.89
25.00;30;0.90
25.00;30;0.92
25.00;30;0.93
25.00;30;0.95
25.00;30;0.97
25.00;30;0.98
25.00;30;1.00
25.00;30;1.01
25.00;30;1.03
25.00;30;1.05
25.00;30;1.06
25.00;30;1.08
25.00;30;1.09
25.00;30;1.11
25.00;30;1.12
25.00;30;1.14
25.00;30;1.15
25.00;30;1.17
25.00;30;1.18
25.00;30;1.20
25.00;30;1.22
25.00;30;1.23
25.00;30;1.25
25.00;30;1.26
25.00;30;1.28
25.00;30;1.29
25.00;30;1.31
25.00;30;1.33
25.00;30;1.34
25.00;30;1.36
25.00;30;1.37
25.00;30;1.39
25.00;30;1.40
25.00;30;1.42
25.00;30;1.43
25.00;30;1.45
25.00;30;1.47
25.00;30;1.48
25.00;30;1.50
25.00;30;1.51
25.00;30;1.53
25.00;30;1.54
25.00;30;1.56
25.00;30;1.57
25.00;30;1.59
25.00;30;1.61
25.00;30;1.62
25.00;30;1.64
25.00;30;1.65
25.00;30;1.67
25.00;30;1.68
25.00;30;1.70
25.00;30;1.72
25.00;30;1.73
25.00;30;1.75
25.00;30;1.76
25.00;30;1.78
25.00;30;1.79
25.00;30;1.81
25.00;30;1.82
25.00;30;1.84
25.00;30;1.86
25.00;30;1.87
25.00;30;1.89
25.00;30;1.90
25.00;30;1.92
25.00;30;1.93
25.00;30;1.95
25.00;30;1.97
25.00;30;1.98
25.00;30;2.00
25.10;30;2.01
25.10;30;2.03
25.10;30;2.04
25.10;30;2.06
25.10;30;2.07
25.10;30;2.09
25.10;30;2.10
25.10;30;2.12
25.10;30;2.14
25.10;30;2.15
25.10;30;2.17
25.10;30;2.18
25.10;30;2.20
25.10;30;2.21
25.10;30;2.23
25.10;30;2.25
25.10;30;2.26
25.10;30;2.28
25.10;30;2.29
25.10;30;2.31
25.10;30;2.32
25.10;30;2.34
25.10;30;2.35
25.10;30;2.37
25.10;30;2.39
25.10;30;2.40
25.10;30;2.42
25.10;30;2.43
25.10;30;2.45
25.10;30;2.46
25.10;30;2.48
25.10;30;2.49
25.10;30;2.51
25.10;30;2.53
25.10;30;2.54
25.10;30;2.56
25.10;30;2.57
25.10;30;2.59
25.10;30;2.60
25.10;30;2.62
25.10;30;2.64
25.10;30;2.65
25.10;30;2.67
