temp;pwm;time(s)
26.10;70;0.00
26.10;70;0.00
26.10;70;0.01
26.10;70;0.01
26.10;70;0.01
26.10;70;0.01
26.10;70;0.03
26.10;70;0.05
26.10;70;0.06
26.10;70;0.07
26.10;70;0.09
26.10;70;0.11
26.10;70;0.12
26.10;70;0.14
26.10;70;0.15
26.10;70;0.17
26.10;70;0.19
26.10;70;0.20
26.10;70;0.22
26.10;70;0.23
26.10;70;0.25
26.10;70;0.26
26.10;70;0.28
26.10;70;0.29
26.10;70;0.31
26.10;70;0.32
26.10;70;0.34
26.10;70;0.36
26.10;70;0.37
26.10;70;0.39
26.10;70;0.40
26.10;70;0.42
26.10;70;0.44
26.10;70;0.45
26.10;70;0.47
26.10;70;0.48
26.10;70;0.50
26.10;70;0.51
26.10;70;0.53
26.10;70;0.54
26.10;70;0.56
26.10;70;0.57
26.10;70;0.59
26.10;70;0.61
26.10;70;0.62
26.10;70;0.64
26.10;70;0.65
26.10;70;0.67
26.10;70;0.69
26.10;70;0.70
26.10;70;0.72
26.10;70;0.73
26.10;70;0.75
26.10;70;0.76
26.10;70;0.78
26.10;70;0.79
26.10;70;0.81
26.10;70;0.82
26.10;70;0.84
26.10;70;0.86
26.10;70;0.87
26.10;70;0.89
26.10;70;0.90
26.10;70;0.92
26.10;70;0.93
26.10;70;0.95
26.10;70;0.97
26.10;70;0.98
26.10;70;1.00
26.10;70;1.01
26.10;70;1.03
26.10;70;1.04
26.10;70;1.06
26.10;70;1.07
26.10;70;1.09
26.10;70;1.11
26.10;70;1.12
26.10;70;1.14
26.10;70;1.15
26.10;70;1.17
26.10;70;1.18
26.10;70;1.20
26.10;70;1.21
26.10;70;1.23
26.10;70;1.25
26.10;70;1.26
26.10;70;1.28
26.10;70;1.29
26.10;70;1.31
26.10;70;1.32
26.10;70;1.34
26.10;70;1.36
26.10;70;1.37
26.10;70;1.39
26.10;70;1.40
26.10;70;1.42
26.10;70;1.43
26.10;70;1.45
26.10;70;1.46
26.10;70;1.48
26.10;70;1.50
26.10;70;1.51
26.10;70;1.53
26.10;70;1.54
26.10;70;1.56
26.10;70;1.57
26.10;70;1.59
26.10;70;1.60
26.10;70;1.62
26.10;70;1.64
26.10;70;1.65
26.10;70;1.67
26.10;70;1.68
26.10;70;1.70
26.10;70;1.71
26.10;70;1.73
26.10;70;1.74
26.10;70;1.76
26.10;70;1.78
26.10;70;1.79
26.10;70;1.81
26.10;70;1.82
26.10;70;1.84
26.10;70;1.85
26.10;70;1.87
26.10;70;1.89
26.10;70;1.90
26.10;70;1.92
26.10;70;1.93
26.10;70;1.95
26.10;70;1.96
26.10;70;1.98
26.10;70;1.99
26.00;70;2.01
26.00;70;2.03
26.00;70;2.04
26.00;70;2.06
26.00;70;2.07
26.00;70;2.09
26.00;70;2.10
26.00;70;2.12
26.00;70;2.14
26.00;70;2.15
26.00;70;2.17
26.00;70;2.18
26.00;70;2.20
26.00;70;2.21
26.00;70;2.23
26.00;70;2.24
26.00;70;2.26
26.00;70;2.28
26.00;70;2.29
26.00;70;2.31
26.00;70;2.32
26.00;70;2.34
26.00;70;2.35
26.00;70;2.37
26.00;70;2.38
26.00;70;2.40
26.00;70;2.42
26.00;70;2.43
26.00;70;2.45
26.00;70;2.46
26.00;70;2.48
26.00;70;2.49
26.00;70;2.51
26.00;70;2.53
26.00;70;2.54
26.00;70;2.56
26.00;70;2.57
26.00;70;2.59
26.00;70;2.60
26.00;70;2.62
26.00;70;2.63
26.00;70;2.65
26.00;70;2.67
26.00;70;2.68
26.00;70;2.70
26.00;70;2.71
26.00;70;2.73
26.00;70;2.74
26.00;70;2.76
26.00;70;2.78
26.00;70;2.79
26.00;70;2.80
26.00;70;2.82
26.00;70;2.84
26.00;70;2.85
26.00;70;2.87
26.00;70;2.88
26.00;70;2.90
26.00;70;2.92
26.00;70;2.93
26.00;70;2.95
26.00;70;2.96
26.00;70;2.98
26.00;70;2.99
26.00;70;3.01
26.00;70;3.02
26.00;70;3.04
26.00;70;3.05
26.00;70;3.07
26.00;70;3.09
26.00;70;3.10
26.00;70;3.12
26.00;70;3.13
26.00;70;3.15
26.00;70;3.17
26.00;70;3.18
26.00;70;3.20
26.00;70;3.21
26.00;70;3.23
26.00;70;3.24
