temp;pwm;time(s)
26.20;70;0.00
26.20;70;1.00
26.30;70;2.00
26.30;70;3.00
26.20;70;4.00
26.20;70;5.00
26.20;70;6.00
26.20;70;7.00
26.30;70;8.00
26.30;70;9.00
26.30;70;10.00
26.30;70;11.00
26.20;70;12.00
26.20;70;13.00
26.20;70;14.00
26.20;70;15.00
26.20;70;16.00
26.20;70;17.00
26.10;70;18.00
26.10;70;19.00
26.10;70;20.00
26.10;70;21.00
26.10;70;22.00
26.10;70;23.00
26.00;70;24.00
26.00;70;25.00
26.00;70;26.00
26.00;70;27.00
25.90;70;28.00
25.90;70;29.00
25.90;70;30.00
25.90;70;31.00
25.80;70;32.00
25.80;70;33.00
25.80;70;34.00
25.80;70;35.00
25.70;70;36.00
25.70;70;37.00
25.60;70;38.00
25.60;70;39.00
25.60;70;40.00
25.60;70;41.00
25.50;70;42.00
25.50;70;43.00
25.40;70;44.00
25.40;70;45.00
25.40;70;46.00
25.40;70;47.00
25.40;70;48.00
25.40;70;49.00
25.20;70;50.00
25.20;70;51.00
25.20;70;52.00
25.20;70;53.00
25.10;70;54.00
25.10;70;55.00
25.10;70;56.00
25.10;70;57.00
25.00;70;58.00
25.00;70;59.00
25.00;70;60.00
25.00;70;61.00
24.90;70;62.00
24.90;70;63.00
24.90;70;64.00
24.90;70;65.00
24.80;70;66.00
24.80;70;67.00
24.70;70;68.00
24.70;70;69.00
24.70;70;70.00
24.70;70;71.00
24.70;70;72.00
24.70;70;73.00
24.60;70;74.00
24.60;70;75.00
24.60;70;76.00
24.60;70;77.00
24.50;70;78.00
24.50;70;79.00
24.50;70;80.00
24.50;70;81.00
24.50;70;82.00
24.50;70;83.00
24.40;70;84.00
24.40;70;85.00
24.30;70;86.00
24.30;70;87.00
24.30;70;88.00
24.30;70;89.00
24.30;70;90.00
24.30;70;91.00
24.30;70;92.00
24.30;70;93.00
24.20;70;94.00
24.20;70;95.00
24.30;70;96.00
24.30;70;97.00
24.20;70;98.00
24.20;70;99.00
24.10;70;100.00
24.10;70;101.00
24.10;70;102.00
24.10;70;103.00
24.10;70;104.00
24.10;70;105.00
24.10;70;106.00
24.10;70;107.00
24.00;70;108.00
24.00;70;109.00
24.10;70;110.00
24.10;70;111.00
24.00;70;112.00
24.00;70;113.00
24.00;70;114.00
24.00;70;115.00
24.00;70;116.00
24.00;70;117.00
24.00;70;118.00
24.00;70;119.00
24.00;70;120.00
24.00;70;121.00
24.00;70;122.00
24.00;70;123.00
24.00;70;124.00
24.00;70;125.00
23.90;70;126.00
23.90;70;127.00
23.90;70;128.00
23.90;70;129.00
23.90;70;130.00
23.90;70;131.00
23.90;70;132.00
23.90;70;133.00
23.90;70;134.00
23.90;70;135.00
23.90;70;136.00
23.90;70;137.00
23.90;70;138.00
23.90;70;139.00
23.90;70;140.00
23.90;70;141.00
23.90;70;142.00
23.90;70;143.00
23.90;70;144.00
23.90;70;145.00
23.90;70;146.00
23.90;70;147.00
23.90;70;148.00
23.90;70;149.00
23.90;70;150.00
23.90;70;151.00
23.90;70;152.00
23.90;70;153.00
23.90;70;154.00
23.90;70;155.00
23.90;70;156.00
23.90;70;157.00
23.90;70;158.00
23.90;70;159.00
23.90;70;160.00
23.90;70;161.00
23.90;70;162.00
23.90;70;163.00
23.90;70;164.00
23.90;70;165.00
23.90;70;166.00
23.90;70;167.00
23.90;70;168.00
23.90;70;169.00
23.90;70;170.00
23.90;70;171.00
23.90;70;172.00
23.90;70;173.00
23.90;70;174.00
23.90;70;175.00
23.90;70;176.00
23.90;70;177.00
23.90;70;178.00
23.90;70;179.00
23.90;70;180.00
23.90;70;181.00
23.90;70;182.00
23.90;70;183.00
23.90;70;184.00
23.90;70;185.00
23.90;70;186.00
23.90;70;187.00
23.90;70;188.00
23.90;70;189.00
23.90;70;190.00
23.90;70;191.00
23.90;70;192.00
23.90;70;193.00
23.90;70;194.00
23.90;70;195.00
23.90;70;196.00
23.90;70;197.00
23.90;70;198.00
23.90;70;199.00
23.90;70;200.00
23.90;70;201.00
23.90;70;202.00
23.90;70;203.00
23.90;70;204.00
23.90;70;205.00
23.90;70;206.00
23.90;70;207.00
24.00;70;208.00
24.00;70;209.00
23.90;70;210.00
23.90;70;211.00
23.90;70;212.00
23.90;70;213.00
23.90;70;214.00
23.90;70;215.00
23.90;70;216.00
23.90;70;217.00
23.90;70;218.00
23.90;70;219.00
23.90;70;220.00
23.90;70;221.00
23.90;70;222.00
23.90;70;223.00
23.90;70;224.00
23.90;70;225.00
23.90;70;226.00
23.90;70;227.00
23.90;70;228.00
23.90;70;229.00
23.90;70;230.00
23.90;70;231.00
23.90;70;232.00
23.90;70;233.00
24.00;70;234.00
24.00;70;235.00
23.90;70;236.00
23.90;70;237.00
24.00;70;238.00
24.00;70;239.00
23.90;70;240.00
23.90;70;241.00
24.00;70;242.00
24.00;70;243.00
23.90;70;244.00
23.90;70;245.00
24.00;70;246.00
24.00;70;247.00
23.90;70;248.00
23.90;70;249.00
24.00;70;250.00
24.00;70;251.00
23.90;70;252.00
23.90;70;253.00
24.00;70;254.00
24.00;70;255.00
23.90;70;256.00
23.90;70;257.00
24.00;70;258.00
24.00;70;259.00
24.00;70;260.00
24.00;70;261.00
24.00;70;262.00
24.00;70;263.00
23.90;70;264.00
23.90;70;265.00
24.00;70;266.00
24.00;70;267.00
24.00;70;268.00
24.00;70;269.00
23.90;70;270.00
23.90;70;271.00
24.00;70;272.00
24.00;70;273.00
24.00;70;274.00
24.00;70;275.00
24.00;70;276.00
24.00;70;277.00
24.00;70;278.00
24.00;70;279.00
23.90;70;280.00
23.90;70;281.00
24.00;70;282.00
24.00;70;283.00
23.90;70;284.00
23.90;70;285.00
24.00;70;286.00
24.00;70;287.00
24.00;70;288.00
24.00;70;289.00
24.00;70;290.00
24.00;70;291.00
23.90;70;292.00
23.90;70;293.00
23.90;70;294.00
