temp;pwm;time(s)
25.60;70;0.01
25.60;70;1.14
25.60;70;2.27
25.60;70;3.40
25.60;70;4.00
25.60;70;5.10
25.60;70;6.23
25.60;70;7.36
25.60;70;8.50
25.60;70;9.06
25.60;70;10.19
25.60;70;11.32
25.60;70;12.46
25.60;70;13.02
25.60;70;14.15
25.50;70;15.29
25.50;70;16.42
25.50;70;17.00
25.50;70;18.11
25.50;70;19.25
25.40;70;20.38
25.40;70;21.00
25.40;70;22.08
25.30;70;23.21
25.30;70;24.34
25.20;70;25.47
25.20;70;26.04
25.20;70;27.17
25.20;70;28.30
25.10;70;29.43
25.00;70;30.00
25.00;70;31.13
25.00;70;32.26
24.90;70;33.39
24.80;70;34.00
24.80;70;35.09
24.70;70;36.22
24.70;70;37.36
24.60;70;38.49
24.60;70;39.05
24.50;70;40.18
24.40;70;41.32
24.40;70;42.45
24.30;70;43.01
24.30;70;44.14
24.20;70;45.28
24.10;70;46.41
24.10;70;47.00
24.00;70;48.10
23.90;70;49.24
23.80;70;50.37
23.80;70;51.50
23.80;70;52.06
23.70;70;53.20
23.60;70;54.33
23.60;70;55.46
23.50;70;56.03
23.50;70;57.16
23.40;70;58.29
23.30;70;59.42
23.30;70;60.00
23.20;70;61.12
23.10;70;62.25
23.10;70;63.38
23.10;70;64.00
23.00;70;65.08
23.00;70;66.21
22.90;70;67.34
22.80;70;68.47
22.80;70;69.04
22.70;70;70.17
22.70;70;71.30
22.60;70;72.43
22.60;70;73.00
22.50;70;74.13
22.40;70;75.26
22.40;70;76.39
22.30;70;77.00
22.30;70;78.09
22.20;70;79.22
22.20;70;80.35
22.10;70;81.48
22.10;70;82.05
22.00;70;83.18
22.00;70;84.31
21.90;70;85.44
21.90;70;86.01
21.90;70;87.14
21.80;70;88.27
21.80;70;89.41
21.70;70;90.00
21.70;70;91.10
21.60;70;92.23
21.60;70;93.37
21.50;70;94.50
21.50;70;95.06
21.50;70;96.20
21.40;70;97.33
21.40;70;98.46
21.40;70;99.02
21.30;70;100.16
21.30;70;101.29
21.20;70;102.42
21.20;70;103.00
21.20;70;104.12
21.10;70;105.25
21.10;70;106.38
21.10;70;107.00
21.00;70;108.08
21.00;70;109.21
21.00;70;110.34
20.90;70;111.47
20.90;70;112.04
20.90;70;113.17
20.90;70;114.30
20.80;70;115.43
20.80;70;116.00
20.70;70;117.13
20.70;70;118.26
20.70;70;119.40
20.60;70;120.00
20.60;70;121.09
20.60;70;122.23
20.60;70;123.36
20.50;70;124.49
20.50;70;125.06
20.50;70;126.19
20.50;70;127.32
20.40;70;128.45
20.40;70;129.02
20.40;70;130.15
20.40;70;131.28
20.30;70;132.41
20.30;70;133.00
20.30;70;134.11
20.30;70;135.24
20.30;70;136.37
20.20;70;137.50
20.20;70;138.07
20.20;70;139.20
20.20;70;140.33
20.10;70;141.46
20.10;70;142.03
20.10;70;143.16
20.10;70;144.29
20.10;70;145.42
20.10;70;146.00
20.00;70;147.12
