temp;pwm;time(s)
29.50;30;0.00
29.50;30;0.00
29.50;30;0.01
29.50;30;0.01
29.50;30;0.01
29.50;30;0.01
29.50;30;0.03
29.50;30;0.05
29.50;30;0.06
29.50;30;0.08
29.50;30;0.09
29.50;30;0.11
29.50;30;0.12
29.50;30;0.14
29.50;30;0.15
29.50;30;0.17
29.50;30;0.19
29.50;30;0.20
29.50;30;0.22
29.50;30;0.23
29.50;30;0.25
29.50;30;0.26
29.50;30;0.28
29.50;30;0.30
29.50;30;0.31
29.50;30;0.33
29.50;30;0.34
29.50;30;0.36
29.50;30;0.37
29.50;30;0.39
29.50;30;0.40
29.50;30;0.42
29.50;30;0.44
29.50;30;0.45
29.50;30;0.47
29.50;30;0.48
29.50;30;0.50
29.50;30;0.51
29.50;30;0.53
29.50;30;0.55
29.50;30;0.56
29.50;30;0.58
29.50;30;0.59
29.50;30;0.61
29.50;30;0.62
29.50;30;0.64
29.50;30;0.65
29.50;30;0.67
29.50;30;0.68
29.50;30;0.70
29.50;30;0.72
29.50;30;0.73
29.50;30;0.75
29.50;30;0.76
29.50;30;0.78
29.50;30;0.80
29.50;30;0.81
29.50;30;0.83
29.50;30;0.84
29.50;30;0.86
29.50;30;0.87
29.50;30;0.89
29.50;30;0.90
29.50;30;0.92
29.50;30;0.93
29.50;30;0.95
29.50;30;0.97
29.50;30;0.98
29.50;30;1.00
29.50;30;1.01
29.50;30;1.03
29.50;30;1.05
29.50;30;1.06
29.50;30;1.07
29.50;30;1.09
29.50;30;1.11
29.50;30;1.12
29.50;30;1.14
29.50;30;1.15
29.50;30;1.17
29.50;30;1.18
29.50;30;1.20
29.50;30;1.22
29.50;30;1.23
29.50;30;1.25
29.50;30;1.26
29.50;30;1.28
29.50;30;1.29
29.50;30;1.31
29.50;30;1.32
29.50;30;1.34
29.50;30;1.36
29.50;30;1.37
29.50;30;1.39
29.50;30;1.40
29.50;30;1.42
29.50;30;1.43
29.50;30;1.45
29.50;30;1.47
29.50;30;1.48
29.50;30;1.50
29.50;30;1.51
29.50;30;1.53
29.50;30;1.54
29.50;30;1.56
29.50;30;1.57
29.50;30;1.59
29.50;30;1.61
29.50;30;1.62
29.50;30;1.64
29.50;30;1.65
29.50;30;1.67
29.50;30;1.68
29.50;30;1.70
29.50;30;1.72
29.50;30;1.73
29.50;30;1.75
29.50;30;1.76
29.50;30;1.78
29.50;30;1.79
29.50;30;1.81
29.50;30;1.82
29.50;30;1.84
29.50;30;1.86
29.50;30;1.87
29.50;30;1.89
29.50;30;1.90
29.50;30;1.92
29.50;30;1.93
29.50;30;1.95
29.50;30;1.97
29.50;30;1.98
