temp;pwm;time(s)
22.50;70;0.25
22.50;70;1.04
22.50;70;2.00
22.56;70;3.03
22.56;70;4.06
22.56;70;5.02
22.56;70;6.05
22.56;70;7.02
22.56;70;8.05
22.62;70;9.02
22.56;70;10.04
22.56;70;11.01
22.62;70;12.04
22.56;70;13.01
22.62;70;14.03
22.62;70;15.00
22.56;70;16.03
22.62;70;17.06
22.56;70;18.02
22.56;70;19.05
22.62;70;20.02
22.62;70;21.04
22.62;70;22.01
22.62;70;23.04
22.62;70;24.00
22.56;70;25.03
22.56;70;26.06
22.56;70;27.02
22.56;70;28.05
22.56;70;29.02
22.56;70;30.05
22.56;70;31.01
22.56;70;32.04
22.56;70;33.01
22.56;70;34.03
22.56;70;35.06
22.56;70;36.03
22.56;70;37.05
22.56;70;38.02
22.56;70;39.04
22.56;70;40.01
22.56;70;41.04
22.56;70;42.00
22.50;70;43.03
22.56;70;44.06
22.56;70;45.02
22.56;70;46.05
22.56;70;47.02
22.56;70;48.04
22.56;70;49.01
22.56;70;50.04
22.56;70;51.00
22.56;70;52.03
22.56;70;53.06
22.56;70;54.02
22.56;70;55.05
22.56;70;56.02
22.56;70;57.04
22.56;70;58.01
22.56;70;59.04
22.56;70;60.00
22.56;70;61.03
22.56;70;62.06
22.56;70;63.02
22.56;70;64.05
22.56;70;65.02
22.56;70;66.04
22.56;70;67.01
22.62;70;68.04
22.56;70;69.00
22.62;70;70.03
22.56;70;71.06
22.56;70;72.02
22.62;70;73.05
22.56;70;74.01
22.56;70;75.04
22.56;70;76.01
22.56;70;77.03
22.56;70;78.06
22.62;70;79.03
22.62;70;80.05
22.56;70;81.02
22.56;70;82.05
22.56;70;83.01
22.56;70;84.04
22.56;70;85.01
22.56;70;86.03
22.62;70;87.06
22.56;70;88.03
22.62;70;89.05
22.62;70;90.02
22.56;70;91.04
22.62;70;92.01
22.62;70;93.04
22.56;70;94.00
22.62;70;95.03
22.62;70;96.06
22.62;70;97.02
22.56;70;98.05
22.62;70;99.02
22.62;70;100.04
