temp;pwm;time(s)
20.37;70;0.25
20.37;70;1.04
20.44;70;2.00
20.44;70;3.03
20.44;70;4.06
20.50;70;5.03
20.50;70;6.05
20.44;70;7.02
20.44;70;8.05
20.44;70;9.02
20.44;70;10.04
20.44;70;11.01
20.44;70;12.04
20.44;70;13.01
20.44;70;14.03
20.44;70;15.00
20.44;70;16.03
20.44;70;17.06
20.44;70;18.02
20.44;70;19.05
20.44;70;20.02
20.50;70;21.04
20.44;70;22.01
20.44;70;23.04
20.44;70;24.00
20.44;70;25.03
20.44;70;26.06
20.50;70;27.02
20.44;70;28.05
20.44;70;29.02
20.44;70;30.04
20.44;70;31.01
20.44;70;32.04
20.50;70;33.01
20.44;70;34.03
20.50;70;35.06
20.50;70;36.03
20.50;70;37.05
20.50;70;38.02
20.44;70;39.05
20.50;70;40.01
20.44;70;41.04
20.44;70;42.01
20.50;70;43.03
20.50;70;44.06
20.50;70;45.02
20.50;70;46.05
20.44;70;47.02
20.44;70;48.04
20.44;70;49.01
20.50;70;50.04
20.50;70;51.00
20.50;70;52.03
20.50;70;53.06
20.50;70;54.02
20.44;70;55.05
20.50;70;56.02
20.50;70;57.04
20.50;70;58.01
20.50;70;59.04
20.50;70;60.00
20.50;70;61.03
20.50;70;62.06
20.44;70;63.02
20.50;70;64.05
20.50;70;65.02
20.50;70;66.04
20.50;70;67.01
20.50;70;68.04
20.50;70;69.00
20.50;70;70.03
20.50;70;71.06
20.44;70;72.02
20.50;70;73.05
20.44;70;74.02
20.44;70;75.04
20.44;70;76.01
20.50;70;77.04
20.44;70;78.00
20.50;70;79.03
20.50;70;80.06
20.44;70;81.02
20.50;70;82.05
20.50;70;83.02
20.50;70;84.04
20.50;70;85.01
20.50;70;86.03
20.50;70;87.00
20.44;70;88.03
20.50;70;89.05
20.50;70;90.02
20.50;70;91.05
20.50;70;92.01
20.50;70;93.04
20.50;70;94.00
20.50;70;95.03
20.50;70;96.06
20.50;70;97.02
20.50;70;98.05
20.50;70;99.02
20.50;70;100.04
20.50;70;101.01
20.50;70;102.03
20.50;70;103.00
20.50;70;104.03
20.50;70;105.05
20.50;70;106.02
20.50;70;107.05
20.50;70;108.01
20.50;70;109.04
20.50;70;110.01
20.50;70;111.03
20.50;70;112.06
20.50;70;113.03
20.50;70;114.05
20.50;70;115.02
20.50;70;116.05
20.50;70;117.01
20.50;70;118.04
20.50;70;119.00
20.56;70;120.03
20.50;70;121.06
20.50;70;122.02
20.50;70;123.05
20.50;70;124.02
20.50;70;125.04
20.50;70;126.01
20.50;70;127.04
20.50;70;128.00
20.50;70;129.03
20.50;70;130.06
20.50;70;131.03
20.56;70;132.05
20.56;70;133.02
20.50;70;134.05
20.50;70;135.02
20.50;70;136.04
20.56;70;137.01
20.56;70;138.04
20.56;70;139.00
20.56;70;140.03
20.50;70;141.06
20.50;70;142.02
20.50;70;143.05
20.50;70;144.02
20.56;70;145.04
20.56;70;146.01
20.50;70;147.04
20.50;70;148.00
20.50;70;149.03
20.56;70;150.06
20.50;70;151.03
20.50;70;152.05
20.56;70;153.02
20.56;70;154.05
20.50;70;155.01
20.50;70;156.04
20.56;70;157.01
20.56;70;158.03
20.50;70;159.00
20.56;70;160.03
20.50;70;161.06
20.50;70;162.02
20.56;70;163.05
20.56;70;164.02
20.50;70;165.04
20.50;70;166.01
20.50;70;167.04
20.50;70;168.00
20.50;70;169.03
20.50;70;170.06
20.56;70;171.03
20.50;70;172.05
20.50;70;173.02
20.56;70;174.05
20.56;70;175.01
20.50;70;176.04
20.50;70;177.01
20.50;70;178.04
20.50;70;179.00
20.50;70;180.03
20.50;70;181.06
20.50;70;182.02
20.50;70;183.05
20.50;70;184.02
20.50;70;185.04
20.50;70;186.01
20.50;70;187.04
20.50;70;188.00
20.50;70;189.03
20.44;70;190.06
20.50;70;191.03
20.50;70;192.05
20.50;70;193.02
20.50;70;194.05
20.50;70;195.01
20.50;70;196.04
20.50;70;197.01
20.50;70;198.03
20.50;70;199.00
20.50;70;200.03
20.50;70;201.06
20.50;70;202.02
20.50;70;203.05
20.50;70;204.02
20.50;70;205.04
20.50;70;206.01
20.50;70;207.04
20.50;70;208.00
20.50;70;209.03
20.50;70;210.06
20.50;70;211.02
20.50;70;212.05
20.50;70;213.02
20.50;70;214.04
20.50;70;215.01
20.50;70;216.04
20.50;70;217.00
20.50;70;218.03
20.50;70;219.06
20.50;70;220.03
20.50;70;221.05
20.50;70;222.02
20.50;70;223.05
20.50;70;224.01
20.56;70;225.04
20.50;70;226.01
20.56;70;227.03
20.56;70;228.06
20.56;70;229.03
20.56;70;230.05
20.50;70;231.02
20.50;70;232.05
20.56;70;233.01
20.50;70;234.04
20.56;70;235.01
20.56;70;236.03
20.56;70;237.06
20.56;70;238.03
20.50;70;239.05
20.50;70;240.02
20.56;70;241.05
20.56;70;242.01
20.50;70;243.04
20.56;70;244.01
20.56;70;245.03
20.56;70;246.00
20.56;70;247.03
20.56;70;248.05
20.50;70;249.02
20.56;70;250.05
20.56;70;251.01
20.50;70;252.04
20.56;70;253.01
20.56;70;254.03
20.50;70;255.06
20.50;70;256.03
20.50;70;257.05
20.50;70;258.02
20.50;70;259.05
20.50;70;260.01
20.50;70;261.04
20.50;70;262.01
20.50;70;263.04
20.50;70;264.00
20.44;70;265.03
20.50;70;266.06
20.50;70;267.02
20.50;70;268.05
20.50;70;269.02
20.44;70;270.04
20.50;70;271.01
20.50;70;272.04
20.50;70;273.00
20.50;70;274.03
20.50;70;275.06
20.50;70;276.02
20.50;70;277.05
20.50;70;278.02
20.50;70;279.05
20.44;70;280.01
20.50;70;281.04
20.50;70;282.00
20.50;70;283.03
20.50;70;284.06
20.50;70;285.02
20.50;70;286.05
20.50;70;287.02
20.50;70;288.05
20.50;70;289.01
20.50;70;290.04
20.50;70;291.01
20.50;70;292.03
20.50;70;293.00
20.50;70;294.03
20.50;70;295.05
20.50;70;296.02
20.50;70;297.05
20.50;70;298.01
20.50;70;299.04
20.50;70;300.01
20.50;70;301.03
20.50;70;302.00
20.50;70;303.03
20.50;70;304.05
20.44;70;305.02
20.50;70;306.05
20.50;70;307.02
20.50;70;308.04
20.50;70;309.01
20.44;70;310.03
20.50;70;311.00
20.50;70;312.03
20.44;70;313.05
20.50;70;314.02
20.50;70;315.05
20.50;70;316.01
20.50;70;317.04
20.50;70;318.01
20.50;70;319.03
20.50;70;320.00
20.50;70;321.03
20.50;70;322.05
20.50;70;323.02
20.50;70;324.05
20.50;70;325.01
20.50;70;326.04
20.50;70;327.01
20.50;70;328.03
20.50;70;329.00
20.50;70;330.03
20.50;70;331.05
20.50;70;332.02
20.44;70;333.05
20.44;70;334.02
20.50;70;335.04
20.50;70;336.01
20.50;70;337.04
20.50;70;338.00
20.50;70;339.03
20.50;70;340.06
20.50;70;341.02
20.50;70;342.05
20.50;70;343.02
20.50;70;344.04
20.50;70;345.01
20.50;70;346.04
20.44;70;347.00
20.50;70;348.03
20.50;70;349.06
20.50;70;350.02
20.44;70;351.05
20.50;70;352.02
20.50;70;353.05
20.50;70;354.01
20.50;70;355.04
20.50;70;356.01
20.50;70;357.03
20.50;70;358.00
20.50;70;359.03
20.44;70;360.05
20.50;70;361.02
20.44;70;362.05
20.50;70;363.01
20.50;70;364.04
20.50;70;365.01
20.50;70;366.04
20.50;70;367.00
20.50;70;368.03
20.50;70;369.06
20.50;70;370.02
20.50;70;371.05
20.44;70;372.02
20.50;70;373.04
20.50;70;374.01
20.50;70;375.04
20.50;70;376.01
20.50;70;377.03
20.50;70;378.06
20.50;70;379.03
20.50;70;380.05
20.44;70;381.02
20.44;70;382.05
20.50;70;383.02
20.50;70;384.04
20.44;70;385.01
20.44;70;386.04
20.50;70;387.00
20.44;70;388.03
20.50;70;389.06
20.50;70;390.02
20.44;70;391.05
20.44;70;392.02
20.44;70;393.04
20.44;70;394.01
20.44;70;395.04
20.44;70;396.00
20.44;70;397.03
20.44;70;398.06
20.44;70;399.02
20.44;70;400.05
20.44;70;401.02
20.50;70;402.04
20.44;70;403.01
20.44;70;404.04
20.44;70;405.01
20.44;70;406.03
20.50;70;407.06
20.50;70;408.03
20.44;70;409.05
20.44;70;410.02
20.44;70;411.05
20.44;70;412.02
20.50;70;413.04
20.50;70;414.01
20.44;70;415.04
20.50;70;416.00
20.50;70;417.03
20.50;70;418.06
20.50;70;419.02
20.50;70;420.05
20.44;70;421.02
20.44;70;422.04
20.44;70;423.01
20.50;70;424.04
20.44;70;425.01
20.44;70;426.03
20.44;70;427.06
20.44;70;428.03
20.44;70;429.05
20.44;70;430.02
20.44;70;431.05
20.50;70;432.01
20.44;70;433.04
20.44;70;434.01
20.44;70;435.03
20.44;70;436.00
20.44;70;437.03
20.44;70;438.05
20.44;70;439.02
20.44;70;440.05
20.44;70;441.01
20.44;70;442.04
20.44;70;443.01
20.44;70;444.04
20.44;70;445.00
20.44;70;446.03
20.44;70;447.06
20.44;70;448.02
20.44;70;449.05
20.44;70;450.02
20.44;70;451.04
20.44;70;452.01
20.44;70;453.04
20.44;70;454.01
20.44;70;455.03
20.44;70;456.06
20.50;70;457.03
20.44;70;458.05
20.44;70;459.02
20.44;70;460.04
20.44;70;461.01
20.44;70;462.04
20.44;70;463.01
20.44;70;464.03
20.44;70;465.00
20.44;70;466.03
20.44;70;467.06
20.44;70;468.02
20.44;70;469.05
20.44;70;470.02
20.44;70;471.04
20.44;70;472.01
20.44;70;473.04
20.37;70;474.00
20.44;70;475.03
20.44;70;476.06
20.44;70;477.03
20.37;70;478.05
20.44;70;479.02
